Date,Adoption_Enterprise_Software,Adoption_Supply,Adoption
2007-01-31,75.58097215921734,75.58097215921734,75.58097215921734
2007-02-28,75.58097215921734,75.58097215921734,75.58097215921734
2007-03-31,75.58097215921734,75.58097215921734,75.58097215921734
2007-04-30,74.40290050555315,74.40290050555315,74.40290050555315
2007-05-31,74.40290050555315,74.40290050555315,74.40290050555315
2007-06-30,74.40290050555315,74.40290050555315,74.40290050555315
2007-07-31,74.20212811831082,74.20212811831082,74.20212811831082
2007-08-31,74.20212811831082,74.20212811831082,74.20212811831082
2007-09-30,74.20212811831082,74.20212811831082,74.20212811831082
2007-10-31,76.03857451605059,76.03857451605059,76.03857451605059
2007-11-30,76.03857451605059,76.03857451605059,76.03857451605059
2007-12-31,76.03857451605059,76.03857451605059,76.03857451605059
2008-01-31,75.94922735403037,75.94922735403037,75.94922735403037
2008-02-29,75.94922735403037,75.94922735403037,75.94922735403037
2008-03-31,75.94922735403037,75.94922735403037,75.94922735403037
2008-04-30,76.56275603222707,76.56275603222707,76.56275603222707
2008-05-31,76.56275603222707,76.56275603222707,76.56275603222707
2008-06-30,76.56275603222707,76.56275603222707,76.56275603222707
2008-07-31,76.12291961687662,76.12291961687662,76.12291961687662
2008-08-31,76.12291961687662,76.12291961687662,76.12291961687662
2008-09-30,76.12291961687662,76.12291961687662,76.12291961687662
2008-10-31,70.03040908236325,70.03040908236325,70.03040908236325
2008-11-30,70.03040908236325,70.03040908236325,70.03040908236325
2008-12-31,70.03040908236325,70.03040908236325,70.03040908236325
2009-01-31,65.74174530539308,65.74174530539308,65.74174530539308
2009-02-28,65.74174530539308,65.74174530539308,65.74174530539308
2009-03-31,65.74174530539308,65.74174530539308,65.74174530539308
2009-04-30,65.35365435067209,65.35365435067209,65.35365435067209
2009-05-31,65.35365435067209,65.35365435067209,65.35365435067209
2009-06-30,65.35365435067209,65.35365435067209,65.35365435067209
2009-07-31,66.42133568832675,66.42133568832675,66.42133568832675
2009-08-31,66.42133568832675,66.42133568832675,66.42133568832675
2009-09-30,66.42133568832675,66.42133568832675,66.42133568832675
2009-10-31,70.30345262961806,70.30345262961806,70.30345262961806
2009-11-30,70.30345262961806,70.30345262961806,70.30345262961806
2009-12-31,70.30345262961806,70.30345262961806,70.30345262961806
2010-01-31,71.43081373186537,71.43081373186537,71.43081373186537
2010-02-28,71.43081373186537,71.43081373186537,71.43081373186537
2010-03-31,71.43081373186537,71.43081373186537,71.43081373186537
2010-04-30,75.14493041097971,75.14493041097971,75.14493041097971
2010-05-31,75.14493041097971,75.14493041097971,75.14493041097971
2010-06-30,75.14493041097971,75.14493041097971,75.14493041097971
2010-07-31,79.3685673924255,79.3685673924255,79.3685673924255
2010-08-31,79.3685673924255,79.3685673924255,79.3685673924255
2010-09-30,79.3685673924255,79.3685673924255,79.3685673924255
2010-10-31,79.27318325999852,79.27318325999852,79.27318325999852
2010-11-30,79.27318325999852,79.27318325999852,79.27318325999852
2010-12-31,79.27318325999852,79.27318325999852,79.27318325999852
2011-01-31,79.84479811508535,79.84479811508535,79.84479811508535
2011-02-28,79.84479811508535,79.84479811508535,79.84479811508535
2011-03-31,79.84479811508535,79.84479811508535,79.84479811508535
2011-04-30,80.92196612052209,80.92196612052209,80.92196612052209
2011-05-31,80.92196612052209,80.92196612052209,80.92196612052209
2011-06-30,80.92196612052209,80.92196612052209,80.92196612052209
2011-07-31,79.97312685744645,79.97312685744645,79.97312685744645
2011-08-31,79.97312685744645,79.97312685744645,79.97312685744645
2011-09-30,79.97312685744645,79.97312685744645,79.97312685744645
2011-10-31,80.07610032409907,80.07610032409907,80.07610032409907
2011-11-30,80.07610032409907,80.07610032409907,80.07610032409907
2011-12-31,80.07610032409907,80.07610032409907,80.07610032409907
2012-01-31,79.40013212340948,79.40013212340948,79.40013212340948
2012-02-29,79.40013212340948,79.40013212340948,79.40013212340948
2012-03-31,79.40013212340948,79.40013212340948,79.40013212340948
2012-04-30,80.42641709256057,80.42641709256057,80.42641709256057
2012-05-31,80.42641709256057,80.42641709256057,80.42641709256057
2012-06-30,80.42641709256057,80.42641709256057,80.42641709256057
2012-07-31,81.49289103613387,81.49289103613387,81.49289103613387
2012-08-31,81.49289103613387,81.49289103613387,81.49289103613387
2012-09-30,81.49289103613387,81.49289103613387,81.49289103613387
2012-10-31,81.63139638575207,81.63139638575207,81.63139638575207
2012-11-30,81.63139638575207,81.63139638575207,81.63139638575207
2012-12-31,81.63139638575207,81.63139638575207,81.63139638575207
2013-01-31,83.10113995249768,83.10113995249768,83.10113995249768
2013-02-28,83.10113995249768,83.10113995249768,83.10113995249768
2013-03-31,83.10113995249768,83.10113995249768,83.10113995249768
2013-04-30,84.6586783174446,84.6586783174446,84.6586783174446
2013-05-31,84.6586783174446,84.6586783174446,84.6586783174446
2013-06-30,84.6586783174446,84.6586783174446,84.6586783174446
2013-07-31,85.01313472275645,85.01313472275645,85.01313472275645
2013-08-31,85.01313472275645,85.01313472275645,85.01313472275645
2013-09-30,85.01313472275645,85.01313472275645,85.01313472275645
2013-10-31,86.92357712919635,86.92357712919635,86.92357712919635
2013-11-30,86.92357712919635,86.92357712919635,86.92357712919635
2013-12-31,86.92357712919635,86.92357712919635,86.92357712919635
2014-01-31,88.15218684940864,88.15218684940864,88.15218684940864
2014-02-28,88.15218684940864,88.15218684940864,88.15218684940864
2014-03-31,88.15218684940864,88.15218684940864,88.15218684940864
2014-04-30,91.4721756033952,91.4721756033952,91.4721756033952
2014-05-31,91.4721756033952,91.4721756033952,91.4721756033952
2014-06-30,91.4721756033952,91.4721756033952,91.4721756033952
2014-07-31,90.17284708698931,90.17284708698931,90.17284708698931
2014-08-31,90.17284708698931,90.17284708698931,90.17284708698931
